NOME DO ESTABELECIMENTO                                                ;MED.AVALIACOES                     ;QNT.AVALIACOES                          ;TIPO DE ESTABELECIMENTO                ;CONTATO DO ESTABELECIMENTO ;ENDERECO COMPLETO                                                                                                                                                                                                  ;LOGRADOURO                                                                                                                                                     ;NUMERO  ;BAIRRO                 ;CEP
DONA QUITANDA EMPÓRIO                                                  ;4,8                                ;(37)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 98848-4567            ;R DO CARMO, 84 - SANTO ANTÔNIO, ARACAJU - SE, 49060-080                                                                                                                                                            ;R DO CARMO                                                                                                                                                     ;84      ;SANTO ANTÔNIO          ;49060080
ESPAÇO VIDA SAUDÁVEL WELISSON ARAÚJO                                   ;4,7                                ;(7)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98808-2223            ;R CAMPO DO BRITO, 390 - 13 DE JULHO, ARACAJU - SE, 49020-380                                                                                                                                                       ;R CAMPO DO BRITO                                                                                                                                               ;390     ;13 DE JULHO            ;49020380
FARMÁCIA ELEMENTAR ARACAJU SE                                          ;4,7                                ;(12)                                    ;EMPRESA FARMACÊUTICA                   ;(79) 3024-3322             ;AV GONÇALO PRADO ROLEMBERG, 404 - LOJA A TÉRREO - SALGADO FILHO, ARACAJU - SE, 49020-580                                                                                                                           ;AV GONÇALO PRADO ROLEMBERG                                                                                                                                     ;404     ;SALGADO FILHO          ;49020580
ÔMEGAS E CIA                                                           ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99992-4321            ;R CAPELA - CENTRO, ARACAJU - SE, 49010-370                                                                                                                                                                         ;R CAPELA - CENTRO                                                                                                                                              ;ARACAJU ;CENTRO                 ;49010370
CASA NATURAL                                                           ;5,0                                ;(1)                                     ;CENTRO DE SAÚDE E BELEZA               ;(79) 99984-1304            ;AV QUIRINO, 1145 - INÁCIO BARBOSA, ARACAJU - SE, 49040-700                                                                                                                                                         ;AV QUIRINO                                                                                                                                                     ;1145    ;INÁCIO BARBOSA         ;49040700
POINT SUPLE                                                            ;1,0                                ;(1)                                     ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3221-1614             ;R LARANJEIRAS, 1091 - GETÚLIO VARGAS, ARACAJU - SE, 49055-380                                                                                                                                                      ;R LARANJEIRAS                                                                                                                                                  ;1091    ;GETÚLIO VARGAS         ;49055380
TNT SUPLEMENTOS MATRIZ                                                 ;4,2                                ;(17)                                    ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 3211-3342             ;R LARANJEIRAS, 649 - CENTRO, ARACAJU - SE, 49010-000                                                                                                                                                               ;R LARANJEIRAS                                                                                                                                                  ;649     ;CENTRO                 ;49010000
LÍDER AMWAY ARACAJU                                                    ;4,6                                ;(14)                                    ;FORNECEDOR DE PRODUTOS DE LIMPEZA      ;(79) 98854-0209            ;R GEN. CEROA DA MOTA, 210 - 18 DO FORTE, ARACAJU - SE, 49072-275                                                                                                                                                   ;R GEN. CEROA DA MOTA                                                                                                                                           ;210     ;18 DO FORTE            ;49072275
BODYACTION FIT SUPLEMENTOS                                             ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99927-4321            ;AV GOV. PAULO BARRETO DE MENEZES, 590 - 13 DE JULHO, ARACAJU - SE, 49020-010                                                                                                                                       ;AV GOV. PAULO BARRETO DE MENEZES                                                                                                                               ;590     ;13 DE JULHO            ;49020010
MERCADITO FIT BARRA DOS COQUEIROS                                      ;4,8                                ;(42)                                    ;LOJA DE PRODUTOS NATURAIS              ;(79) 99948-0163            ;ROD. JOSÉ DE CAMPOS, 618 - CENTRO, BARRA DOS COQUEIROS - SE, 49140-000                                                                                                                                             ;ROD. JOSÉ DE CAMPOS                                                                                                                                            ;618     ;                       ;49140000
SONUTRI LOJA DE SUPLEMENTOS, FITOTERÁPICOS E PRODUTOS NATURAIS         ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99643-8766            ;R MAJ. HUNALDO DOS SANTOS - FAROLÂNDIA, ARACAJU - SE, 49030-520                                                                                                                                                    ;R MAJ. HUNALDO DOS SANTOS - FAROLÂNDIA                                                                                                                         ;ARACAJU ;FAROLÂNDIA             ;49030520
SHOP SKULL SUPLEMENTOS                                                 ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 98843-3946            ;R: OSVALDO SAMPAIO - NOVO PARAÍSO, ARACAJU - SE, 49082-385                                                                                                                                                         ;R: OSVALDO SAMPAIO - NOVO PARAÍSO                                                                                                                              ;ARACAJU ;NOVO PARAÍSO           ;49082385
GIFF SUPLEMENTOS                                                       ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(79) 99952-6792            ;R SÃO FRANCISCO DE ASSIS, 696 - SALA 13 - SANTOS DUMONT, ARACAJU - SE, 49087-000                                                                                                                                   ;R SÃO FRANCISCO DE ASSIS                                                                                                                                       ;696     ;SANTOS DUMONT          ;49087000
SUPLEMENTOS DE ACADEMIA                                                ;Média de avaliações não disponível ;Quantidade de avaliações não disponível ;LOJA DE VITAMINAS E SUPLEMENTOS        ;(21) 97179-1921            ;R SÃO FRANCISCO DE ASSIS, 661 - SANTOS DUMONT, ARACAJU - SE, 49087-000                                                                                                                                             ;R SÃO FRANCISCO DE ASSIS                                                                                                                                       ;661     ;SANTOS DUMONT          ;49087000
MM SUPLEMENTOS 17SE                                                    ;5,0                                ;(6)                                     ;LOJA DE ARTIGOS ESPORTIVOS             ;(79) 99916-7698            ;AV ARACAJU, 391 - JOÃO ALVES, NOSSA SRA. DO SOCORRO - SE, 49160-000                                                                                                                                                ;AV ARACAJU                                                                                                                                                     ;391     ;                       ;49160000
